name,diet,period,lived_in,type,length,species
monolophosaurus,carnivorous,Mid Jurassic,China,large theropod,5.7,jiangi
mononykus,unknown,Late Cretaceous,Mongolia,small theropod,1.0,olecranus
mussaurus,herbivorous,Late Triassic,Argentina,sauropod,3.0,patagonicus
muttaburrasaurus,herbivorous,Early Cretaceous,Australia,euornithopod,7.0,langdoni
nanshiungosaurus,omnivorous,Late Cretaceous,China,large theropod,4.4,brevispinus
nedoceratops,herbivorous,Late Cretaceous,USA,ceratopsian,7.0,hatcheri
nemegtosaurus,herbivorous,Late Cretaceous,Mongolia,sauropod,13.0,mongoliensis
neovenator,carnivorous,Early Cretaceous,United Kingdom,large theropod,7.4,salerii
neuquenosaurus,herbivorous,Late Cretaceous,Argentina,sauropod,10.0,australis
nigersaurus,herbivorous,Early Cretaceous,Tunisia,sauropod,15.0,taqueti
noasaurus,carnivorous,Late Cretaceous,Argentina,small theropod,1.0,leali
nodosaurus,herbivorous,Early Cretaceous,USA,armoured dinosaur,5.0,textilis
nomingia,omnivorous,Late Cretaceous,Mongolia,small theropod,1.6,gobiensis
nothronychus,omnivorous,Late Cretaceous,USA,large theropod,5.3,mckinleyi
nqwebasaurus,carnivorous,Mid Jurassic,South Africa,small theropod,1.0,thwazi
omeisaurus,herbivorous,Mid Jurassic,China,sauropod,20.0,junghsiensis
opisthocoelicaudia,herbivorous,Late Cretaceous,Mongolia,sauropod,12.0,skarzynskii 
ornitholestes,carnivorous,Late Jurassic,USA,small theropod,2.0,hermanni
ornithomimus,omnivorous,Late Cretaceous,USA,large theropod,4.0,velox
orodromeus,herbivorous,Late Cretaceous,USA,euornithopod,2.0,makelai
oryctodromeus,herbivorous,Late Cretaceous,USA,euornithopod,2.1,cubicularis
othnielia,herbivorous,Late Jurassic,USA,euornithopod,1.4,rex
ouranosaurus,herbivorous,Early Cretaceous,Niger,euornithopod,7.0,nigeriensis
oviraptor,omnivorous,Late Cretaceous,Mongolia,small theropod,2.0,philoceratops
pachycephalosaurus,herbivorous,Late Cretaceous,USA,euornithopod,8.0,wyomingensis
pachyrhinosaurus,herbivorous,Late Cretaceous,Canada,ceratopsian,6.0,canadensis
panoplosaurus,herbivorous,Late Cretaceous,USA,armoured dinosaur,7.0,mirus
pantydraco,herbivorous,Early Jurassic,Wales,euornithopod,3.0,caducus
paralititan,herbivorous,Late Cretaceous,Egypt,sauropod,28.0,stromeri
parasaurolophus,herbivorous,Late Cretaceous,USA,euornithopod,11.0,walkeri
parksosaurus,herbivorous,Late Cretaceous,Canada,euornithopod,3.0,warrenae
patagosaurus,herbivorous,Mid Jurassic,Argentina,sauropod,18.0,fariasi
pelicanimimus,carnivorous,Early Cretaceous,Spain,small theropod,2.0,polyodon
pelorosaurus,herbivorous,Early Cretaceous,United Kingdom,sauropod,25.0,conybearei
pentaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,6.8,sternbergi
piatnitzkysaurus,carnivorous,Late Jurassic,Argentina,large theropod,4.2,floresi
pinacosaurus,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,5.0,grangeri
plateosaurus,herbivorous,Late Triassic,Switzerland,sauropod,7.0,engelhardti
podokesaurus,carnivorous,Mid Jurassic,USA,small theropod,0.9,holyokensis
poekilopleuron,carnivorous,Mid Jurassic,France,large theropod,9.0,bucklandii
polacanthus,herbivorous,Early Cretaceous,United Kingdom,armoured dinosaur,5.0,foxii
prenocephale,herbivorous,Late Cretaceous,Mongolia,euornithopod,2.4,prenes
probactrosaurus,herbivorous,Early Cretaceous,China,euornithopod,6.0,gobiensis
proceratosaurus,carnivorous,Mid Jurassic,United Kingdom,small theropod,4.1,bradleyi
procompsognathus,carnivorous,Late Triassic,Germany,small theropod,1.0,triassicus
prosaurolophus,herbivorous,Late Cretaceous,USA,euornithopod,7.6,maximus
protarchaeopteryx,carnivorous,Early Cretaceous,China,small theropod,2.0,robusta
protoceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,1.8,andrewsi
protohadros,herbivorous,Late Cretaceous,USA,euornithopod,6.0,byrdi
psittacosaurus,herbivorous,Early Cretaceous,Russia,ceratopsian,2.0,mongoliensis
quaesitosaurus,herbivorous,Late Cretaceous,Mongolia,sauropod,23.0,orientalis
rebbachisaurus,herbivorous,Early Cretaceous,Morocco,sauropod,20.0,garasbae
rhabdodon,herbivorous,Late Cretaceous,Spain,euornithopod,4.0,priscus
rhoetosaurus,herbivorous,Mid Jurassic,Australia,sauropod,15.0,brownei
rinchenia,omnivorous,Late Cretaceous,Mongolia,small theropod,2.5,mongoliensis
riojasaurus,herbivorous,Late Triassic,Argentina,sauropod,5.15,incertus
rugops,carnivorous,Late Cretaceous,Niger,large theropod,7.0,primus
saichania,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,6.6,chulsanensis
saltasaurus,herbivorous,Late Cretaceous,Argentina,sauropod,12.0,loricatus
sarcosaurus,carnivorous,Early Jurassic,United Kingdom,small theropod,3.0,woodi
saurolophus,herbivorous,Late Cretaceous,Mongolia,euornithopod,9.0,osborni
