name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,image,coordinates,latitude,longitude,modified_period
Tyrannosaurus,Carnivorous,Late Cretaceous 68-66 million years ago,USA,Large Theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Osborn (1905),Rex,https://www.nhm.ac.uk/discover/dino-directory/tyrannosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/tyran.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Unenlagia,Carnivorous,Late Cretaceous 94-86 million years ago,Argentina,Small Theropod,2.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Novas and Puerta (1997),Comahuensis,https://www.nhm.ac.uk/discover/dino-directory/unenlagia.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Unenlagia.jpg,Argentina,-34.9964963,-64.9672817,Late Cretaceous
Urbacodon,Carnivorous,Late Cretaceous 95 million years ago,Uzbekistan,Small Theropod,1.0,Dinosauria Saurischia,Averianov and Sues (2007),Itemirensis,https://www.nhm.ac.uk/discover/dino-directory/urbacodon.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/urbacodon.jpg,Oʻzbekiston,41.32373,63.9528098,Late Cretaceous
Utahraptor,Carnivorous,Early Cretaceous 112-100 million years ago,USA,Large Theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Kirkland Gaston and Burge (1993),Ostrommaysorum,https://www.nhm.ac.uk/discover/dino-directory/utahraptor.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/utahraptor.jpg,United States,39.7837304,-100.445882,Early Cretaceous
Valdosaurus,Herbivorous,Early Cretaceous 142-121 million years ago,United Kingdom,Euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,Galton (1975),Canaliculatus,https://www.nhm.ac.uk/discover/dino-directory/valdosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Valdosaurus.jpg,United Kingdom,54.7023545,-3.2765753,Early Cretaceous
Velociraptor,Carnivorous,Late Cretaceous 74-70 million years ago,Mongolia,Small Theropod,1.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Osborn (1924),Mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/velociraptor.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/veloc.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Vulcanodon,Herbivorous,Early Jurassic 205-202 million years ago,Zimbabwe,Sauropod,6.5,Dinosauria Saurischia Sauropodomorpha Sauropoda Vulcanodontidae,Raath (1972),Karibaensis,https://www.nhm.ac.uk/discover/dino-directory/vulcanodon.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Vulcanodon.jpg,Zimbabwe,-18.4554963,29.7468414,Early Jurassic
Yandusaurus,Herbivorous,Mid Jurassic 169-159 million years ago,China,Euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,He (1979),Hongheensis,https://www.nhm.ac.uk/discover/dino-directory/yandusaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Yandusaurus.jpg,中国,35.000074,104.999927,Mid Jurassic
Yangchuanosaurus,Carnivorous,Late Jurassic 160-144 million years ago,China,Large Theropod,10.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,Dong Chang Li and Zhou (1978),Shangyouensis,https://www.nhm.ac.uk/discover/dino-directory/yangchuanosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/yangchu.jpg,中国,35.000074,104.999927,Late Jurassic
Yimenosaurus,Herbivorous,Early Jurassic 195-190 million years ago,China,Sauropod,9.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda,Bai Yang and Wang (1990),Youngi,https://www.nhm.ac.uk/discover/dino-directory/yimenosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Yimenosaurus.jpg,中国,35.000074,104.999927,Early Jurassic
Yinlong,Herbivorous,Mid Jurassic 159-154 million years ago,China,Ceratopsian,1.2,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia,Xu Forster Clark and Mo (2006),Downsi,https://www.nhm.ac.uk/discover/dino-directory/yinlong.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Yinlong.jpg,中国,35.000074,104.999927,Mid Jurassic
